cust_num,category,balance,age,acct_num,opendt
79,intl equity,5312.08333333333,66,372,13251
79,mon mkt,22459.2111111111,66,373,16069
80,bonds,15.7555555555556,63,374,14019
80,high equity,5155.40555555556,63,375,15739
80,low  equity,5756.76111111111,63,376,16098
80,intl equity,9753.08888888889,63,377,18024
83,low  equity,13227.1777777778,69,378,13186
83,low  equity,12372.8222222222,69,379,13983
83,low  equity,9922.77777777778,69,380,13998
83,low  equity,27586.3222222222,69,381,17464
83,low  equity,12278.9111111111,69,382,17464
83,low  equity,26427.1666666667,69,383,17464
83,high equity,11877.7,69,384,17464
83,high equity,25154.3555555556,69,385,17464
83,bonds,41882.3277777778,69,386,17464
83,low  equity,32032.4888888889,69,387,17464
83,low  equity,12717.65,69,388,17464
83,low  equity,13783.4222222222,69,389,17464
83,Brokerage,42101.2055555556,69,390,17464
83,Brokerage,44303.3111111111,69,391,17464
83,high equity,7161.59444444444,69,392,17688
83,low  equity,4293.72777777778,69,393,17688
83,Brokerage,12158.9166666667,69,394,17688
84,mon mkt,39690.6555555556,63,395,12050
84,mon mkt,28046.4333333333,63,396,17629
85,intl equity,45.2555555555556,40,397,13895
85,low  equity,168.861111111111,40,398,13895
85,low  equity,102.866666666667,40,399,13895
85,low  equity,1082.90555555556,40,400,14775
85,low  equity,1062.88333333333,40,401,15447
85,low  equity,862.066666666667,40,402,15447
85,high equity,996.605555555556,40,403,15447
85,low  equity,1156.48333333333,40,404,15447
85,high equity,990.8,40,405,15447
85,low  equity,326.783333333333,40,406,17099
85,low  equity,326.822222222222,40,407,17099
85,low  equity,328.244444444444,40,408,17099
85,low  equity,328.411111111111,40,409,17099
87,intl equity,650.255555555556,54,410,14934
87,intl equity,1091.45555555556,54,411,14934
87,intl equity,1127.49444444444,54,412,12995
88,low  equity,2648.50555555556,48,413,14243
88,intl equity,2887.92777777778,48,414,14882
89,low  equity,1628.42222222222,55,415,12872
89,low  equity,1748.20555555556,55,416,15539
89,mon mkt,1739.95555555556,55,417,16125
89,intl equity,1617.08333333333,55,418,16223
89,low  equity,2684.53333333333,55,419,16519
89,mon mkt,20239.5888888889,55,420,17146
89,bonds,4013.02222222222,55,421,17912
89,mon mkt,79.9444444444444,55,422,17986
89,bonds,2837.07222222222,55,423,17948
90,mon mkt,1498.91666666667,29,424,17064
91,bonds,46166.4111111111,94,425,14424
91,bonds,61467.0666666667,94,426,13888
91,bonds,155320.161111111,94,427,13888
93,mon mkt,1173.63888888889,54,428,15228
93,intl equity,142.944444444444,54,429,13681
93,intl equity,95.0388888888889,54,430,13681
93,intl equity,140.188888888889,54,431,13681
93,low  equity,425.7,54,432,13681
94,bonds,1034.06666666667,84,433,11604
95,mon mkt,2235.06666666667,50,434,14412
95,mon mkt,871.372222222222,50,435,14797
95,mon mkt,31389.45,50,436,17519
97,mon mkt,15148.7777777778,74,437,17937
98,low  equity,2106.23888888889,49,438,14668
99,bonds,36484.3277777778,63,439,11633
99,high equity,47115.1555555556,63,440,13949
100,mon mkt,255.788888888889,44,441,14866
100,low  equity,15561.1444444444,44,442,12885
100,low  equity,8570.67777777778,44,443,14334
100,low  equity,11288.5388888889,44,444,15180
102,bonds,4626.75,70,445,14914
102,bonds,30058.0222222222,70,446,11975
102,low  equity,21654.3555555556,70,447,12296
102,low  equity,52268.3611111111,70,448,12296
102,intl equity,34728.3388888889,70,449,12410
102,mon mkt,12377.5444444444,70,450,12410
102,high equity,30396.3833333333,70,451,13293
102,intl equity,2988.04444444444,70,452,13312
102,mon mkt,13692.6222222222,70,453,14621
102,intl equity,38378.4111111111,70,454,14621
102,high equity,4618.94444444444,70,455,15477
102,high equity,3928.91666666667,70,456,15477
102,mon mkt,5131.30555555556,70,457,12311
102,bonds,9920.12777777778,70,458,16092
102,intl equity,3448.61666666667,70,459,16853
102,low  equity,2152.95,70,460,17258
103,mon mkt,8256.96666666667,61,461,14101
103,bonds,4455.18333333333,61,462,15776
104,bonds,11532.6833333333,78,463,14676
105,low  equity,12987.1611111111,50,464,16845
105,low  equity,13846.1388888889,50,465,16845
105,low  equity,1882.12222222222,50,466,16853
105,low  equity,2757.6,50,467,17188
106,high equity,12286.2,59,468,11868
106,low  equity,7978.26111111111,59,469,11868
106,bonds,5502.30555555556,59,470,11868
106,low  equity,1352.02777777778,59,471,12717
107,Retire Date,28862,65,472,16007
110,low  equity,4596.1,43,473,14075
110,bonds,7458.91666666667,43,474,14075
110,mon mkt,585.05,43,475,14875
110,intl equity,2821.25555555556,43,476,14882
110,high equity,14460.65,43,477,15053
110,low  equity,4690.61111111111,43,478,15526
111,low  equity,38144.1555555556,68,479,11707
111,intl equity,19180.2,68,480,12402
111,intl equity,22435.2,68,481,12402
112,low  equity,9347.44444444445,49,482,12117
112,intl equity,5210.67222222222,49,483,12207
113,mon mkt,3905.99444444444,27,484,17616
113,mon mkt,319.911111111111,27,485,17615
113,low  equity,54919.1777777778,27,486,17615
113,low  equity,4978.67222222222,27,487,17615
113,low  equity,9192.56666666667,27,488,17615
113,low  equity,1113.61111111111,27,489,17617
114,high equity,10752.1555555556,98,490,15431
114,low  equity,12585.5,98,491,15882
114,mon mkt,36618.3,98,492,15076
114,low  equity,34404.3722222222,98,493,15076
114,intl equity,38152.4722222222,98,494,15076
114,high equity,40947.0666666667,98,495,15076
114,low  equity,7045.95,98,496,16419
116,mon mkt,55579.1666666667,72,497,16037
116,Retire Date,16648.5444444444,72,498,16922
116,Retire Date,75130.6722222222,72,499,16922
116,intl equity,2121.89444444444,72,500,16922
116,bonds,67960.9444444444,72,501,18099
117,mon mkt,558.416666666667,50,502,15697
117,bonds,2822422.2,50,503,15728
117,low  equity,111039.283333333,50,504,16474
117,mon mkt,331.072222222222,50,505,17538
117,high equity,207726.911111111,50,506,17727
117,intl equity,86714.6055555556,50,507,17850
118,intl equity,86530.6444444444,60,508,13164
118,low  equity,25756.5833333333,60,509,12716
118,intl equity,10689.1555555556,60,510,13899
118,intl equity,128127.327777778,60,511,13895
118,intl equity,30361.1277777778,60,512,15300
118,high equity,4894.61111111111,60,513,17686
119,mon mkt,37198.3944444444,62,514,13320
119,mon mkt,90833.2166666667,62,515,13297
119,low  equity,56639.2777777778,62,516,14700
120,low  equity,24921.5555555556,77,517,13342
120,high equity,33769.35,77,518,13017
120,low  equity,18627.0333333333,77,519,13017
120,high equity,27208.0888888889,77,520,13009
120,mon mkt,9308.51111111111,77,521,14369
120,low  equity,15280.3,77,522,15714
120,high equity,6930.80555555556,77,523,16138
122,high equity,50419.0222222222,82,524,13362
123,mon mkt,366.161111111111,43,525,13611
123,mon mkt,22.1888888888889,43,526,13618
123,intl equity,4647.92222222222,43,527,14980
124,intl equity,1459.34444444444,53,528,14244
124,low  equity,2033.54444444444,53,529,14244
125,mon mkt,26.6388888888889,62,530,14549
125,bonds,15377.6888888889,62,531,18073
126,intl equity,3246.73888888889,45,532,15040
127,low  equity,4695.52222222222,66,533,11723
127,intl equity,3987.16666666667,66,534,11912
127,intl equity,57374.2777777778,66,535,11920
127,high equity,49739.9333333333,66,536,11920
127,high equity,4645.08333333333,66,537,12474
127,low  equity,2135.32777777778,66,538,12513
127,intl equity,15862.7055555556,66,539,12481
127,low  equity,1817.11111111111,66,540,12738
127,low  equity,1807.15555555556,66,541,12738
127,low  equity,4916.63333333333,66,542,13076
127,mon mkt,3808.45555555556,66,543,11725
127,bonds,2089.28888888889,66,544,17115
129,mon mkt,1257.18333333333,70,545,14665
129,bonds,11215.5888888889,70,546,14665
129,low  equity,5668.94444444444,70,547,14665
129,bonds,19369.8833333333,70,548,14665
129,intl equity,7373.06666666667,70,549,14580
129,low  equity,4569.87777777778,70,550,14580
129,mon mkt,6124.50555555556,70,551,14580
129,bonds,25714.6833333333,70,552,14580
132,mon mkt,.00555555555555556,41,553,14482
133,low  equity,170984.188888889,82,554,15298
134,low  equity,1623.59444444444,59,555,14581
134,intl equity,972.716666666667,59,556,14581
134,low  equity,2914.86666666667,59,557,16176
134,bonds,2557.05,59,558,16503
135,mon mkt,1793.91666666667,82,559,14700
136,low  equity,9765.08888888889,51,560,14711
137,intl equity,2814.36666666667,48,561,14717
137,intl equity,373.877777777778,48,562,15463
138,mon mkt,5134.48888888889,60,563,14725
140,bonds,9305.58888888889,66,564,17626
140,bonds,1592.75,66,565,17920
141,low  equity,1895.11666666667,78,566,13899
141,low  equity,99208.3611111111,78,567,13726
142,low  equity,7312.26111111111,85,568,11764
142,high equity,5740.3,85,569,11764
142,low  equity,6122.81111111111,85,570,15476
143,low  equity,37772.2388888889,73,571,14229
143,high equity,14026.9166666667,73,572,16702
143,intl equity,21088.9277777778,73,573,16702
143,intl equity,15946.6944444444,73,574,16702
143,Brokerage,26263.6722222222,73,575,17192
143,bonds,88331.2222222222,73,576,17321
144,low  equity,14116.4722222222,61,577,13842
144,intl equity,6946.87777777778,61,578,13930
144,mon mkt,31420.7444444444,61,579,15538
144,intl equity,6680.26666666667,61,580,16635
144,intl equity,6201.87777777778,61,581,16635
144,intl equity,6375.53333333333,61,582,17401
145,low  equity,39687.8111111111,67,583,13327
145,intl equity,2697.56111111111,67,584,14654
145,low  equity,29080.05,67,585,13199
145,low  equity,17284.3722222222,67,586,13494
145,intl equity,1545.88333333333,67,587,14808
145,low  equity,2384.95,67,588,16120
145,bonds,4326.86666666667,67,589,16107
145,intl equity,786.088888888889,67,590,16516
145,intl equity,5347.3,67,591,16446
145,bonds,7978.95,67,592,16611
145,low  equity,4084.54444444444,67,593,17034
145,low  equity,1432.39444444444,67,594,17342
146,intl equity,7127.13888888889,51,595,14854
146,low  equity,5657.73333333333,51,596,14854
146,high equity,8455.08888888889,51,597,14854
146,high equity,5954.93888888889,51,598,14854
146,low  equity,7044.16666666667,51,599,14854
146,high equity,8293.17777777778,51,600,14854
146,intl equity,6414.58333333333,51,601,14854
147,mon mkt,29.9333333333333,48,602,14223
147,Retire Date,16587.8222222222,48,603,16077
147,low  equity,12197.3055555556,48,604,16131
